frame,t_epoch,t_rel,len,plane,tunneled,teid,ip_in_src,ip_in_dst,l4_proto,sport,dport,proto,label
4279,1780399142.262561000,41.805102000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4280,1780399142.262562000,41.805103000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4281,1780399142.262567000,41.805108000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4282,1780399142.262568000,41.805109000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4283,1780399142.262574000,41.805115000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4284,1780399142.262574000,41.805115000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4285,1780399142.262581000,41.805122000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4286,1780399142.262582000,41.805123000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4287,1780399142.262587000,41.805128000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4288,1780399142.262588000,41.805129000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4289,1780399142.262609000,41.805150000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4290,1780399142.262609000,41.805150000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4291,1780399142.263235000,41.805776000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4292,1780399142.263235000,41.805776000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4293,1780399142.263423000,41.805964000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4294,1780399142.263423000,41.805964000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4295,1780399142.264161000,41.806702000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4296,1780399142.264161000,41.806702000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4297,1780399142.264351000,41.806892000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4298,1780399142.264351000,41.806892000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4299,1780399142.265093000,41.807634000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4300,1780399142.265093000,41.807634000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4301,1780399142.265284000,41.807825000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4302,1780399142.265284000,41.807825000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4303,1780399142.265939000,41.808480000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4304,1780399142.265939000,41.808480000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4305,1780399142.266128000,41.808669000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4306,1780399142.266128000,41.808669000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4307,1780399142.266859000,41.809400000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4308,1780399142.266860000,41.809401000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4309,1780399142.267047000,41.809588000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4310,1780399142.267047000,41.809588000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4311,1780399142.267782000,41.810323000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4312,1780399142.267782000,41.810323000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4313,1780399142.267973000,41.810514000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4314,1780399142.267973000,41.810514000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4315,1780399142.268679000,41.811220000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4316,1780399142.268680000,41.811221000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4317,1780399142.268869000,41.811410000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4318,1780399142.268870000,41.811411000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4319,1780399142.269633000,41.812174000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4320,1780399142.269633000,41.812174000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4321,1780399142.269821000,41.812362000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4322,1780399142.269821000,41.812362000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4323,1780399142.270505000,41.813046000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
